近世経済データベース（2018年3月1日）,,,,,,,,,,,,,,,
和暦,西暦,月日,天気,経済的事象,自然災害・災害など,騒動,金相場最小値,金相場最高値,金相場メモ,銭相場最小値,銭相場最高値,銭相場メモ,米相場,米相場メモ,備考
天明7年,1787年,2月14日,快晴,,,,55.05,,,9.02,9.03,,110,肥後米,
天明7年,1787年,2月15日,晴天　,,,,54.9,54.95,,9.02,9.03,,,「休日」,
天明7年,1787年,2月16日,晴天,,,,54.75,54.8,,9.01,9.02,,,「月次休日」,
天明7年,1787年,2月17日,晴天,,,,54.75,54.8,,8.97,8.98,,109,肥後米,
天明7年,1787年,2月18日,,,,,55.1,,,9.01,,,107.8,肥後米,
天明7年,1787年,2月19日,晴天,,,,55.3,,,9.04,9.05,,105.9,肥後米,
天明7年,1787年,2月20日,雨天,,,,55.3,,,9.04,9.05,,107.8,肥後米,
天明7年,1787年,2月21日,昨夜中風立、折々雨、霰交　　　,,,,55.35,,,9.03,9.05,,,「休日」,
天明7年,1787年,2月22日,,,,,55.2,,,9.02,9.03,,,「休日」,
天明7年,1787年,2月23日,晴天,,,,55,,,9.05,,,105.5,肥後米,
天明7年,1787年,2月24日,晴天,,,,55.14,,,9.06,9.07,,107.8,肥後米,
天明7年,1787年,2月25日,,,,,55.2,,,9.4,9.5,,107.5,肥後米,
天明7年,1787年,2月26日,晴天,,,,55.2,,,9.02,9.03,,,「節前今日より五日迄休」,
天明7年,1787年,2月27日,天気,,,,55.1,,,9.01,9.02,,,,
天明7年,1787年,2月28日,,,,,55.05,,,8.99,,,,,
天明7年,1787年,2月29日,,,,,55.01,,,8.98,,,,,
天明7年,1787年,3月1日,,,,,55.15,,,8.99,,,,,
天明7年,1787年,3月2日,,,,,55.15,,,9,,,,,
天明7年,1787年,3月3日,雨天,,,,,,,,,,,,「諸相庭休日」
天明7年,1787年,3月4日,曇天,,,,54.9,,,8.93,8.94,,,,
天明7年,1787年,3月5日,快晴,,,,54.7,,,8.92,,,107.7,肥後米,
天明7年,1787年,3月6日,晴天,,,,54.7,,,8.87,8.88,,108.7,肥後米,
天明7年,1787年,3月7日,曇天,,,,54.7,,,8.84,8.85,,109.5,肥後米,
天明7年,1787年,3月8日,,,,,54.9,,,8.87,8.88,,109,肥後米,
天明7年,1787年,3月9日,,大坂東町奉行所へ十人両替が召しだされ、１ヶ年につき２万両ずつの両替役銀差出し（計４年）を命じられる,,,55,,,8.9,,,111,肥後米,
天明7年,1787年,3月10日,晴天,両替役銀のため、相場立会いなし,,,54.9,,,8.88,8.89,,109.8,肥後米,
天明7年,1787年,3月11日,晴天、暖気,両替役銀のため、相場立会いなし／両替役銀のため、惣仲間寄合,,,,,,,,,109.5,肥後米,役金之儀に付、金銭相庭不立会」
天明7年,1787年,3月12日,,両替役銀の件で坂嵜へ書付を差出す。困窮のため何とも返答できない旨／明日より相庭に立ち会うよう申し付けられる（坂崎より）,,,,,,,,,108.6,肥後米,「金銭昨日より同」
天明7年,1787年,3月13日,雨天,為替仲間を坂嵜が呼び寄せ、相庭に立ち会わないことについて、明日より立ち会うよう申しつけ,,,,,,,,,108.9,肥後米,「金銭昨日より同」
天明7年,1787年,3月14日,雨天、夕方晴る,本日より相場立会い,,,55.1,,,8.87,8.88,,109.8,肥後米,
天明7年,1787年,3月15日,晴天、未の刻より雨天　,,,,55.1,,,8.9,,,112.3,肥後米,
天明7年,1787年,3月16日,雨天,,,,55.35,,,8.92,8.93,,,「月次休」,
天明7年,1787年,3月17日,雨天,,,,55.45,,,8.9,,,111.2,肥後米,
天明7年,1787年,3月18日,雨天,両替役銀について減少してほしいとの仲間一統の存念につき、歎願する,,,55.35,,,8.9,,,112.5,肥後米,
天明7年,1787年,3月19日,雨天,,,,55.2,,,8.89,,,114.3,肥後米,
天明7年,1787年,3月20日,曇天、夕方晴る,,,,55.3,,,8.91,,,113.7,肥後米,
天明7年,1787年,3月21日,雨天,,,,55.3,,,8.91,,,,「休」,
天明7年,1787年,3月22日,雨天、四つ比より晴る,,,,55.4,,,8.91,8.92,,114.2,肥後米,
天明7年,1787年,3月23日,快晴,,,,55.35,,,8.92,,,112.02,肥後米,
天明7年,1787年,3月24日,雨天、未刻過晴,,午下刻に地震,,55.4,,,8.91,,,112.1,肥後米,
天明7年,1787年,3月25日,快晴,,,,55.4,,,8.9,,,111.9,肥後米,
天明7年,1787年,3月26日,明六つ時より終日雨天,,,,55.35,,,8.89,,,112,肥後米,
天明7年,1787年,3月27日,雨天、但朝の内晴天,,,,55.4,,,8.88,,,111.9,肥後米,
天明7年,1787年,3月28日,昨夜中已来雨降,長崎奉行などが役替との情報（江戸屋源右衛門より）,,,55.4,,,8.87,,,113.7,肥後米,
天明7年,1787年,3月29日,曇天,坂嵜より両替役銀の件で呼び出し、歎願についてお調べの上、沙汰をすると仰せつけられる,,,55.55,,,8.88,,,114.5,肥後米,
天明7年,1787年,4月1日,快晴,,,,55.5,,,8.89,,,116.1,肥後米,
天明7年,1787年,4月2日,雨降,城代阿部能登守逝去、三日間鳴物停止／大坂西町奉行所にて、両替ならびに銭屋両組に両替役銀６万９７３４両を商い高に応じて割方を命じられ、請書を差出す,,,55.35,,,8.89,,,110.2,肥後米,
天明7年,1787年,4月3日,曇天,,,,55,,,8.88,,,118,肥後米,
天明7年,1787年,4月4日,雨天,,,,55.3,,,8.87,,,121.5,肥後米,
天明7年,1787年,4月5日,雨天,両替役銀につき両組合で相談の結果、困窮につき今年限りで御免を求める嘆願,,,55.3,,,8.85,,,126,肥後米,
天明7年,1787年,4月6日,快晴,,,,55.25,,,8.84,,,123,肥後米,
天明7年,1787年,4月7日,晴天,,,,55.4,,,8.86,8.87,,120,肥後米,
天明7年,1787年,4月8日,雨天,坂嵜より月行司呼出、３年分の商用高を差出すこと,,,55.5,,,8.9,,,,「休」,
天明7年,1787年,4月9日,,３年分の商用高を認め、月行司鴻池家彦六へ差出す,,,55.35,,,8.88,,,121,肥後米,
天明7年,1787年,4月10日,快晴,,,,55.35,,,8.91,,,117,肥後米,
天明7年,1787年,4月11日,晴天,,,,55.6,55.7,,8.93,8.94,,117.3,肥後米,
天明7年,1787年,4月12日,晴天、風立冷気、此夜中雷鳴雨強,,,,55.5,55.55,,8.93,8.94,,118.3,肥後米,
天明7年,1787年,4月13日,能天,坂嵜より、両替役銀の歎願が聞き届けなしとの連絡,,,55.5,55.55,,8.94,8.95,,118.2,肥後米,
天明7年,1787年,4月14日,晴天,,,,55.45,,,8.94,8.95,,120.5,肥後米,
天明7年,1787年,4月15日,晴天,,,,55.45,,,8.94,8.95,,126,肥後米,
天明7年,1787年,4月16日,晴天,両替役銀について、惣仲間相談のうえ再度嘆願を差出す,,,55.4,55.45,,8.95,8.96,,,「月次休」,
天明7年,1787年,4月17日,晴天、薄暑,,,,55.45,55.5,,8.96,8.97,,,「休日」,
天明7年,1787年,4月18日,曇天,,,,55.3,55.35,,8.97,8.98,,125,肥後米,
天明7年,1787年,4月19日,雨天,,,,55.4,55.45,,8.99,9,,125.3,肥後米,
天明7年,1787年,4月20日,雨天,,,,55.45,55.5,,9,9.01,,129,肥後米,
天明7年,1787年,4月21日,雨天,,,,55.45,55.5,,8.97,8.98,,130,肥後米,
天明7年,1787年,4月22日,晴天,,,,55.45,55.5,,8.99,9,,129,肥後米,
天明7年,1787年,4月23日,晴天、折々少雨,大坂西町奉行所より口達を仰せ渡される。仲間で売買を行わない者はその理由を記すこと、など,,,55.45,55.5,,9.02,9.03,,,「休日」,
天明7年,1787年,4月24日,曇天,,,,55.5,55.55,,9.01,9.02,,131,肥後米,
天明7年,1787年,4月25日,雨天,大坂城代が堀田相模守に役替との情報（江戸飛脚より）,,,55.65,,,9.02,,,132,肥後米,
天明7年,1787年,4月26日,昨日より終夜雨、巳刻晴,金方より呼び出し、来月１７日上納の小判１万３０００両の買上入札を仰せ付けられる。十人両替が落札,川筋満水、通船留まり,,55.5,55.55,,9,,,132.5,肥後米,
天明7年,1787年,4月27日,晴天,,昨日より今朝に至り川々満水／中新田洪水,,55.59,55.6,,9.01,,,129,肥後米,
天明7年,1787年,4月28日,晴天,,,,55.45,55.5,,9.02,,,127,肥後米,
天明7年,1787年,4月29日,晴天,１９日、堀田相模守が大坂城代に仰せ付けられた旨の触が廻る,,,55.35,55.4,,8.98,8.99,,,「節前休」,
天明7年,1787年,4月30日,曇天,,,,55.4,,,8.97,8.98,,,,
天明7年,1787年,5月1日,晴天,,,,55.35,55.4,,8.92,8.93,,,,
天明7年,1787年,5月2日,曇天,,,,55.3,55.35,,8.93,,,,,
天明7年,1787年,5月3日,雨天、未刻より快晴,,,,55.35,,,8.93,8.94,,,,
天明7年,1787年,5月4日,曇天、四つ時より快晴,,,,55.55,55.6,,8.95,,,,,
天明7年,1787年,5月5日,曇天,,,,,,,,,,,,「相庭休日」
天明7年,1787年,5月6日,曇天,,,,55.35,55.4,,8.86,8.87,,,,
天明7年,1787年,5月7日,晴天、暑気,,,,55.4,,,8.85,8.86,,130,加賀米／「今日より建米実入九斗四五升」,
天明7年,1787年,5月8日,晴天,,,,55.55,55.6,,8.88,8.89,,134.5,加賀米,
天明7年,1787年,5月9日,曇天、四つ過より晴天,,,,55.45,55.5,,8.91,8.92,,133.5,加賀米,
天明7年,1787年,5月10日,曇天、今朝六つ時過白雨雷鳴,,,,55.55,55.6,,8.92,8.93,,128.5,加賀米,
天明7年,1787年,5月11日,晴天,,,天満伊勢町米屋吉右衛門という造酒屋へ大勢押し寄せ、家作諸道具など打ち損じ,55.55,,,8.88,8.89,,127,加賀米,
天明7年,1787年,5月12日,晴天、少風雨,,,複数の米屋への打ちこわしあり、大騒動に及ぶ。また豪家へも打ちこわしがあるとの風説。昨夜の米屋吉右衛門への騒動につき触出る,57.75,57.8,,8.91,8.92,,125,加賀米,
天明7年,1787年,5月13日,明天　昼時頃より暫時少雨,,,昨暮時より堺表米掛り３０軒ほどが打ちこわし。天王寺村などでは米の押買。玉造町人一統が役所へ米値段高値につき困窮願い。町が米を買い置いた分について、困窮の者へ相応に売り渡すようにとの触が出る,55.75,55.8,,8.94,8.95,,,「無立会」,
天明7年,1787年,5月14日,晴天,,,搗米屋、押買を恐れ小売休みにつき、正道の商いをするよう惣年寄中より触書が廻る／町内より手当てとして当分番人を雇うように廻文,55.75,55.8,,8.93,8.94,,122,加賀米,
天明7年,1787年,5月15日,晴天,,,,56.05,,,9.18,9.2,,124,加賀米,
天明7年,1787年,5月16日,雨天、折々小雨,,,,56.05,56.1,,9.05,9.1,,,「休日」,
天明7年,1787年,5月17日,晴天,,,米が高値で末々の者が困窮のため、遠慮なく施行するようにとの触,56.05,56.1,,9.15,9.16,,119,加賀米,
天明7年,1787年,5月18日,晴天,,,,56.05,56.1,,9.12,9.13,,117.5,加賀米,
天明7年,1787年,5月19日,晴天,,,１８日、困窮の者へ施行するよう触あり。困窮の者を町々で調べ、２０日までに書付で申し上げるよう触,55.95,56,,9.12,9.13,,122,加賀米,
天明7年,1787年,5月20日,晴天,,,,55.9,55.95,,9.11,9.12,,128,加賀米,
天明7年,1787年,5月21日,晴天,,,,56,56.05,,9.06,9.07,,129,加賀米,
天明7年,1787年,5月22日,曇天,,,,56.05,56.1,,9.07,9.08,,127,加賀米,
天明7年,1787年,5月23日,天気、暑気強,,,,56.1,,,9.05,,,122.5,加賀米,
天明7年,1787年,5月24日,晴天,,,,56.1,56.15,,9.06,9.07,,123.5,加賀米,
天明7年,1787年,5月25日,雨天,,,江戸赤坂表参道の米問屋方で打ちこわしとの情報（江戸屋源右衛門より）,56,56.05,,9.04,9.05,,137,加賀米,
天明7年,1787年,5月26日,雨天、今朝雷少々夜■,昨夜に触廻り。当用米のほか正米ならびに切手預け米、預かり米一切を書き出しのこと,,,56.25,56.3,,9.06,9.07,,138,加賀米,
天明7年,1787年,5月27日,天気,南北年番名主より、米値段高値につき町内一統が困窮しているので、御救いと御慈悲が行き届くよう奈良屋市右衛門へ歎願を差出す。本船町・伊勢町・北船町の米仲買が難義の者１人につき２合・５日で１升を時の相場で買い受け,,２１日夜より江戸で米屋が打ちこわしにあった様子などの情報（江戸飛脚より）。三井家向店中店にも大勢押しかけ、米と大豆類を奪い取る／神田鑑町で御慈悲願いの願書差出し,56.15,,,9.1,,,136,加賀米,
天明7年,1787年,5月28日,曇天八時雷雨,,,江戸騒ぎ筋につき、しばらく為替取り組みを見合わせる,56.5,56.6,,9.07,,,,「休日」,
天明7年,1787年,5月29日,午時前より雨天,２４日、浜方年行事が大坂東町奉行所へ召し出され、江戸表より買米を仰せ付けられたので、早々に調えることを命じられる／大坂町奉行所より十人両替へ、天明４年から天明７年まで４年分の両替役銀として６万９６９５両を当年中に納めるよう仰せ渡される,,今日金相庭俄に引き上げ、江戸の騒ぎのためか,57.6,57.7,「晝相場」59.2～59.3,8.98,8.99,,,「（無立会）」,※○昼相場トハ一番相場（午前十時ヨリ正午マデ）ノ終リ即正午相場ナリ
天明7年,1787年,6月1日,晴天,惣会所にて正米・正米切手・預り米・預け米などを調査／買米２万５０００石について暫く見合わせ／米相庭立会いなく、搗米屋が小売せず休む者が多いために難儀に感じる者がいるので、早く小売を始めるよう触が廻る,,,57.8,58,「二番」57,8.93,8.94,,,「休日」,※○二番トハ午后四時（七ッ時）立会ノ相場ナリ
天明7年,1787年,6月2日,晴天,両替役銀割方の書き上げ、計２万８２６０両,,,57.2,57.3,,9.83,9.84,,139,加賀米,
天明7年,1787年,6月3日,曇天,,,,57.2,57.25,,8.92,8.93,,148,加賀米,
天明7年,1787年,6月4日,晴天,後藤両替役銀の返答を本日行うため寄合、そのため今昼相庭立会いせず,,,57.25,,,8.92,8.93,,150,加賀米,
天明7年,1787年,6月5日,快晴甚暑、昼過曇る雷少鳴,両替役銀について坂嵜へ返答、今しばらく猶予を願う,,江戸騒動につき、２４日出の無番状が５日に到着。江戸では与力・同心衆などの見廻りが厳しい。買請米を今日日本橋四日市において名主立会い。聞書（白木屋の米を大勢にて取りにかかり、４人召し捕らえられる。七つ時より町々木戸を閉めるよう仰せ渡されるなど）。店から米を奪った者から内々に米を返したいと申し出あるも、公儀へ訴えたので受け取らないとの由。長谷川平蔵ら御先手十頭、騒々しきにつき召し捕らえるよう仰せ付けられる。,57.1,,,8.93,8.94,,160,加賀米,
天明7年,1787年,6月6日,快晴,,,,57.1,,,8.96,,,,加賀米,
天明7年,1787年,6月7日,曇天,,,,57.25,57.3,,9.02,9.03,,,「休日」,
天明7年,1787年,6月8日,曇天、昼時より雨昼半時晴天,,,,57.5,,,9.12,,,153,加賀米,
天明7年,1787年,6月9日,晴天,,,,57.35,,,9.04,9.05,,150.5,加賀米,
天明7年,1787年,6月10日,曇天,田沼能登守が側衆を御免などの役替との情報（飛脚屋より）,,,57.25,,,9.02,9.03,,144,加賀米,
天明7年,1787年,6月11日,快晴,,,,57.05,,,8.99,,,135,加賀米,
天明7年,1787年,6月12日,快晴,,,,56.9,,,8.93,,,126.5,加賀米,
天明7年,1787年,6月13日,曇天,,,,56.75,,,8.99,9,,128.5,加賀米,
天明7年,1787年,6月14日,快晴,,,,56.9,,,9.01,,,130,加賀米,
天明7年,1787年,6月15日,晴天、甚暑,伊奈半左衛門が勘定吟味役上席を命じられるとの情報（江戸屋源右衛門より）,,,56.85,56.9,,8.98,8.99,,128,加賀米,
天明7年,1787年,6月16日,曇天,,,,56.6,56.7,,8.95,8.96,,,「休日」,
天明7年,1787年,6月17日,晴天,,,,56.55,56.6,,9.01,,,,「休日」,
天明7年,1787年,6月18日,曇天,,,,56.65,56.7,,9.02,9.03,,128,加賀米,
天明7年,1787年,6月19日,晴天,,,,56.6,56.7,,9.06,9.07,,125,加賀米,
天明7年,1787年,6月20日,晴天,,,,56.7,,,9.05,9.06,,114,加賀米,
天明7年,1787年,6月21日,晴天、九つ半時より曇天,坂崎において口達の覚を受ける。近来請銀多く手元取引に差し支えがあり／当月５日に坂崎へ差出した両替役銀猶予の願書について、今日差し戻し,,,56.55,56.6,,9.02,9.03,,114.5,加賀米,
天明7年,1787年,6月22日,雨天、八つ過頃快晴,,,,,,,,,,,,「座摩御神事に付相場休日」
天明7年,1787年,6月23日,快晴,,,,56.3,,,9.02,,,114,加賀米,
天明7年,1787年,6月24日,,,,,55.8,55.9,,9.02,9.03,,,「休」,
天明7年,1787年,6月25日,雨天、昼頃より晴る,,,,55.5,55.6,,9.02,9.03,,,「休日」,
天明7年,1787年,6月26日,晴天、夕方より雨,,,,55.9,,,9.02,,,119,加賀米,
天明7年,1787年,6月27日,雨天、八つ頃より晴る、曇天,,,,56,,,9.02,9.03,,121,加賀米,
天明7年,1787年,6月28日,曇天,,,,56.05,,,9.05,,,129,加賀米,
天明7年,1787年,6月29日,晴天,請銀不通用につき、滞りなく通用するように三組中申し合わせて願書を認め、西町奉行所地方役所へ届ける,,,55.8,55.9,,9.04,9.05,,,「休日住吉神事に付」,
天明7年,1787年,7月1日,晴天,老中に松平越中守が命じられるなど、江戸表で役替,,,56,,,9.25,9.3,,131,加賀米,
天明7年,1787年,7月2日,晴天、残暑強、申刻白雨,,,,55.9,,,9.15,,,136.5,加賀米,
天明7年,1787年,7月3日,晴天、残暑,,,,55.95,56,,9.15,9.16,,135.5,加賀米,
天明7年,1787年,7月4日,晴天、残暑強,坂嵜より呼び出し、両替役銀延引の願いは聞き届けなし,,,55.9,,,9.2,,,129,加賀米,
天明7年,1787年,7月5日,晴天、残暑強,両替役銀について、相談のうえ書付を差出す（金１両につき３厘ずつ増歩を売買高に応じて上納したい旨）,,,55.85,,,9.2,,,117,加賀米,
天明7年,1787年,7月6日,晴天、残暑強,,,,55.7,,,9.15,,,115.5,加賀米／「盆前相庭今日限」,
天明7年,1787年,7月7日,晴天、残暑,,,,55.65,55.7,,9.18,9.2,,,,
天明7年,1787年,7月8日,晴天、風立、残暑強,請銀通用致すべき旨の町触あり,,,55.85,55.9,,9.28,9.3,,,,
天明7年,1787年,7月9日,快晴、風立,,,,56.05,,,9.26,,,,加賀米,
天明7年,1787年,7月10日,雨天、風強,側御用取次と勘定奉行の役替との情報（江戸屋源右衛門より）,,当月２日、船頭が大勢で北新川塩問屋５軒を打ちこわしとの情報（江戸屋より）,55.85,55.9,,9.17,9.18,,,,
天明7年,1787年,7月11日,曇天、七つ時大小雨、西風強暮時止,,,,56,,,9.19,,,,,
天明7年,1787年,7月12日,快晴,,,,56,,,9.23,,,,,
天明7年,1787年,7月13日,快晴,,,,55.95,56,,9.22,9.23,,,,
天明7年,1787年,7月14日,晴天、残暑強,,,,55.7,55.8,,9.23,,,,,
天明7年,1787年,7月15日,晴天、残暑強,,,,,,,,,,,,
天明7年,1787年,7月16日,晴天、朝涼気、八時頃白雨・雷鳴,,,,,,,,,,,,
天明7年,1787年,7月17日,晴天、夕方雨,,,,55.55,55.6,,9.18,9.2,,123,加賀米,
天明7年,1787年,7月18日,曇天、風立、昼過より雨天,,,,55.6,,,9.19,,,121,加賀米,
天明7年,1787年,7月19日,雨天,,,,55.65,,,9.19,,,122,加賀米,
天明7年,1787年,7月20日,雨天,,,,55.8,,,9.21,,,,「休日」,
天明7年,1787年,7月21日,快晴,,,,55.8,,,9.2,,,126,加賀米,
天明7年,1787年,7月22日,晴天,,,,55.65,55.7,,9.18,9.19,,131,加賀米,
天明7年,1787年,7月23日,晴天,,,,55.65,,,9.17,9.18,,132,加賀米,
天明7年,1787年,7月24日,晴天,,,,55.7,,,9.17,9.18,,,「地藏祭に付休日」,
天明7年,1787年,7月25日,快晴、残暑強,,,,55.6,,,9.03,9.04,,130,加賀米,
天明7年,1787年,7月26日,晴天、残暑強,,,,55.6,,,9.12,,,128,加賀米,
天明7年,1787年,7月27日,快晴,,,,55.55,,,9.07,9.08,,127,加賀米,
天明7年,1787年,7月28日,晴天,,,,55.8,,,9.07,9.08,,127,加賀米,
天明7年,1787年,7月29日,晴天,,,,55.7,,,9.12,9.13,,125.8,加賀米,
天明7年,1787年,7月30日,晴天,,,,55.7,,,9.15,9.16,,121.5,加賀米,
天明7年,1787年,8月1日,晴天　,,,,,,,,,,,,「諸相庭休」
天明7年,1787年,8月2日,曇天,,,,55.8,,,9.12,9.13,,120.5,加賀米,
天明7年,1787年,8月3日,快晴、暮過白雨、残暑強,,,,55.7,55.8,,9.06,,,123.8,加賀米,
天明7年,1787年,8月4日,晴天、折々曇、残暑強,,,,55.8,,,9.11,,,130.5,加賀米,
天明7年,1787年,8月5日,夜中より少雨、四時晴,,,,55.85,,,9.11,,,131.5,加賀米,
天明7年,1787年,8月6日,曇天,,,,55.85,55.9,,9.11,9.12,,136,加賀米,
天明7年,1787年,8月7日,快晴,,,,55.9,55.95,,9.1,9.11,,129.5,加賀米,
天明7年,1787年,8月8日,曇天,,,,56.05,,,9.08,9.09,,131.5,加賀米,
天明7年,1787年,8月9日,快晴,,,,56,,,9.1,,,,「彼岸入に付休」,
天明7年,1787年,8月10日,曇天,,,,55.95,,,9.11,,,126,加賀米,
天明7年,1787年,8月11日,雨天,,,,55.95,56,,9.11,9.12,,126,加賀米,
天明7年,1787年,8月12日,雨天、夜中風雨,,,,56,56.05,,9.13,9.14,,,「休日」,
天明7年,1787年,8月13日,曇天,,,,56.1,,,9.13,9.14,,125,加賀米,
天明7年,1787年,8月14日,曇天,,,,56.1,,,9.14,,,120,加賀米,
天明7年,1787年,8月15日,天気,,,,56.05,,,9.17,,,,「休日」,
天明7年,1787年,8月16日,雨天,,,,55.85,55.9,,9.13,9.14,,,「休日」,
天明7年,1787年,8月17日,曇天、初夜より大雨,,,,55.55,,,9.11,,,110,加賀米,
天明7年,1787年,8月18日,快晴,,,,56,,,9.13,9.15,,94,加賀米,
天明7年,1787年,8月19日,快晴,,,,56,,,9.14,9.15,,84,加賀米,
天明7年,1787年,8月20日,雨天,米穀津留御免の触が廻る,,,55.9,,,9.16,9.17,,77.5,加賀米,
天明7年,1787年,8月21日,快晴,,,,55.9,,,9.16,9.17,,78,加賀米,
天明7年,1787年,8月22日,晴天,,,,55.95,,,9.16,9.17,,77.5,加賀米,
天明7年,1787年,8月23日,曇天,,,,55.9,,,9.15,9.16,,77.5,加賀米,
天明7年,1787年,8月24日,曇天,,,,55.9,,,9.14,9.15,,77.5,加賀米,
天明7年,1787年,8月25日,晴天、八時頃より曇る,,,,55.85,,,9.14,9.15,,,加賀米／「庚申に付休」,
天明7年,1787年,8月26日,曇天,,,,55.7,,,9.14,9.15,,76.5,加賀米,
天明7年,1787年,8月27日,雨天,,,,55.8,,,9.15,,,74.6,加賀米,
天明7年,1787年,8月28日,曇天,為替両替役銀について大坂西町奉行所へ呼出し、この度御改めて両替一統金高２９９両ずつ納めるように仰せ渡される,,,55.7,,,9.15,,,73,加賀米,
天明7年,1787年,8月29日,晴天,大坂西町奉行所へ罷り出る。両替役銀を差出すことを命じられる,,,55.6,,,9.15,,,75,加賀米,
天明7年,1787年,9月1日,晴天,増金を１０両払い、両替役銀については御免を願う口上書を東奉行所へ提出,,,55.65,,,9.16,9.17,,76,加賀米,
天明7年,1787年,9月2日,快晴,両替株式金の件、返答書を持参（委細は３日のところに記す）,,,55.6,55.65,,9.18,,,71.5,加賀米,
